cleaned_text,cluster,attribute
use security group id neutron launch instance use security group id launch instance two security groups name would possible launch instance security group name change id icebfdcdfd closes bug,2,performance
wrong link external site integrity life cycle security guide wrong link external site integrity life cycle security guide link dm verity section node hardening integrity life cycle incorrect current link points google code page dm verity project part cryptsetup utility moved project gitlab wiki bug fix updates dm verity link integrity life cycle point wiki page gitlab cryptsetup utility change id ibeecbbaacfcaedcddff closes bug,7,documentation
add vrrp protocol security group api add vrrp protocol security group api change id ibfcdafbcbadbcfecd closes bug,2,performance
add security testing transport layer check add security testing transport layer check test cases check resources related urls service creation response service listing response service get response using https transport security reponse boy http headers checked test cases fail http used change id idabdfadebfcff implements blueprint security testing,7,documentation
fix api misimplementation security groups fix api misimplementation security groups according compute api reference description parameter optional creating security group current implementation returns http parameter specified patch modifies validation check omitting description passing empty string ok http developer openstack org api ref compute v ext html createsecgroup change id iddcdacbaecfeafafdccede closes bug,0,documentation
neutron security group rule protocol icmp port range max value must icmp code neutron security group rule protocol icmp port range max value must icmp code change id ibeecbafdcbaeceeb closes bug,2,performance
add security testing authorization update client add security testing authorization update client test cases cover authorization checks service functions check whether possible create patch list delete services without valid tokens token also check whether possible create patch list delete services one user using another user valid token supposed repsonses errors client code updated include requestslib kwargs none functions implement requestslib possible modify paylaods headers addtion change id iefbfdbadedbfbfeeefdcb implements blueprint authentication,7,documentation
adds security tests automate checking common vulnerabilities adds security tests automate checking common vulnerabilities initial set security tests poppy cdn component change id iadadcdaecbcdbb,7,documentation
remove namespace argument security group initialization remove namespace argument security group initialization neutron security groups iptables ipsets always configured root namespace compute nodes namespace argument required never used remove firewall code related call sites noticed ipset work change id ieedaecbbeaceabfcecae,2,performance
networking tricircle core plugin security group networking tricircle core plugin security group initial implementation include option use ml seem better use core plugin control process change id iceadabdaffbceefff,7,documentation
discuss bridge netfilter ovs hybrid driver security groups discuss bridge netfilter ovs hybrid driver security groups dependent change ovshybridiptablesfirewalldriver ensures netfilter runs bridges option set remove manual steps add explanatory note security groups setup guide change id icadbbbacbcefa depends ifdebcdcefbabdda,0,documentation
add ability change vip security group add ability change vip security group convert edit vip form workflow consistent editing instance instances dashboard add workflow step allows security group vip port changed creation vip closes bug change id ibfecfeaddacdc,2,performance
add separate mirror security ubuntu updates add separate mirror security ubuntu updates unfreeze security updates fuel release change id iffcafdcabfedd,7,documentation
networking tricircle core plugin security group networking tricircle core plugin security group initial implementation include option use ml seem better use core plugin control process change id idcabebdcbecffd,7,documentation
raise exception adding already associated security group raise exception adding already associated security group raises exception securitygroupexistsforinstance trying add already associated security group instance change id ifdcbdadbadaffba closes bug,2,performance
add rate limit iptables security group firewall add rate limit iptables security group firewall driver based iptables firewall beta version poc purpose yet implements log action use need securitygroup section enable security group true enable extended security group true firewall driver neutron agent linux iptables bf firewall iptablesbffirewalldriver change id iabcfdfafabcdcdcfbcf partial implements blueprint security group brute force prevention,2,performance
get rid duplicated creation security groups test volume boot pattern get rid duplicated creation security groups test volume boot pattern turns security group test test volume boot pattern created twice first security group created test second security group created method boot instance volume patch fixes security group created change id iecabeeaceafeaa,2,performance
fixes bug security groups rules dual stack network fixes bug security groups rules dual stack network code add provider rules cycle dhcp agent ips code add rules either correctly adds ipv rules ipv rules depending order dhcp agent ips got database change id iaaabbcbeaaaacccfadc closes bug,0,documentation
networking tricircle core plugin security group networking tricircle core plugin security group initial implementation include option use ml seem better use core plugin control process change id idcabebdcbecffd,7,documentation
add security repo centos add security repo centos change id iecdddcaccfcf partial bug,7,documentation
display security group id server details updated code display security group uuid instead name nova show closes bug change id ibccbccebdbaecbffbacce,2,performance
add security group check boot port add security group check boot port create vm specified security group ports security group invalid ports security group perhaps users confused situation input security group parameter work patch add security group check api boot port return code show security group invalid unnecessary boot port network print worning information log files point security group invalid ports change id ifbbfbcedbafdbc closes bug,2,performance
display id column security group table display id column security group table patch set add id column security group table useful multiple security group name change id idadfebdcceceae closes bug,2,performance
add tox target bandit security checks add tox target bandit security checks bandit produced openstack security team static code analysis security implementation failures tests code base common security problems python come run tox e bandit eventually check job runs target change id iccecdbccdfbdafa,7,documentation
update port security group relevant ipset member updated update port security group relevant ipset member updated member named p sg member named p sg sg access sg p access p p updated sg sg removed p ipsets sg update ipsets get sg ip none logical exe set members exist ip sg p removed sg sg updated change id ibddeddfbaffebebe closes bug,7,documentation
display protocol security group rules display protocol security group rules dashboard instance overview page change id idcaaebfafaca,2,performance
update ï¿½tenant ï¿½project security guide changes security guide added projects tenant information change id idececaacddfec,7,documentation
add rate limiting security groups rules cli extension add rate limiting security groups rules cli extension change id ifefeeaeaccbe implements blueprint security group brute force prevention cli,0,documentation
use left join security group retrieve use left join security group retrieve currently server joins securitygroupportbinding securitygrouprule table retrieve security group rules port empty security group returned cause trouble enhanced rpc enabled security groups field rpc response contain id empty security group agent update security group thus take effect deleting last rule security group patch left joins securitygroupportbinding securitygrouprule table ensure empty security group also returned change id iaadbdcbdcfdacfbf closes bug,2,performance
add events dropped packet security groups firewall add events dropped packet security groups firewall patch includes boolean event parameter addition security group entity api db propagation firewall driver extension existing iptables firewall driver sends events ceilometer use patch complete events need activate ceilometer devstack configuration file adding lines section local localrc enable service ceilometer acompute ceilometer acentral ceilometer anotification ceilometer collector enable service ceilometer alarm evaluator ceilometer alarm notifier enable service ceilometer api add parameter ml conf ini file devstack configuration file adding lines securitygroup firewall event driver neutron agent linux iptables firewall event syslog iptablesfirewallsyslogeventdriver add new events definition end file event definitions yaml ceilometer conf folder event type security groups firewall drop traits security groups firewall src ip fields payload src ip dst port number fields payload dst port number protocol fields payload protocol dst ip fields payload dst ip dst port id fields payload dst port id rule type fields payload rule type time stamp fields payload time stamp tenant id fields payload tenant id associate instance security group event column set true receive events change id idefdcdfceefcadc status beta implementation poc purpose implements blueprint security groups dropped packets event,7,documentation
create security group rules loose loop create security group rules loose loop change id iebcbbdacafcea closes bug,2,performance
network allow case insensitive neutron security groups allow case insensitive neutron security groups initially nova network security groups case insensitive neutron validates security group names regardless case however would fail scheduler would attempt allocate group instance causing enter error state patch neutron allocate instance allowing case insentivie groups matched boot instance running state change id iafedfacaeddcceaefea closes bug,0,documentation
add callbacks security group create delete add callbacks security group create delete add notification listener listen api notifications created updated deleted objects allows us listen security group security group rule deletions creations result normal notification agents change id icbeacfbcdaaeeaedfcd,2,performance
adds message security plugins adds message security plugins adds optional plugin framework message security also provides two plugin implementations dummy pass one using kite work progress change id icbeddaeecbbfbcbaab implements blueprint trusted messaging,7,documentation
reworded sentence chapter security guide reworded sentence chapter security guide change id idacdbeedafcacfaaf,7,documentation
ensure security group body always include description ensure security group body always include description description value security group optional need included value change id iaceeecdbffadbbadc closes bug,2,performance
wip port security extension blueprint ml ovs portsecurity wip port security extension blueprint ml ovs portsecurity change id ibaabfcdceefea,5,performance
enforce single worker create default security group dont merge enforce single worker create default security group hacky attempt see whether locks spread thru code may trigger default security group creation pass gate alternative without db migrations may apply stable branches allow new migrations change id ifefafeedcace related bug,2,performance
adding security groups existing ports adding security groups existing ports security groups added port request body creating port port id security groups provided request launching instance security groups updated port change security groups updated even existing ports change id iafeceadcedcccd closes bug,0,documentation
use instead security group rule existed use instead security group rule existed create update security group create security group rule current code returns patch fix problem change id iaccccddafccedcf,2,performance
hyper v fixes security groups issue hyper v fixes security groups issue patch ifbecaacddceeeaaae refactored securitygroups rpc prepare devices filter attempts use methods unimplemented hyperv security groups driver reason binding ports fails notimplementederror security groups enabled hyperv security groups driver reaches parity use enhanced rpc property set false hypervsecurityagent falling back old behaviour change id icadfceddcfcaa closes bug,0,documentation
add security boot mode management interface add security boot mode management interface spec proposes adding security boot mode management interface set next boot secure boot deployment bare metal depends nodes capabilities intel txt hardware support enable nodes go trust boot uefi secure boot enable nodes go secure boot https review openstack org c https review openstack org c change id iaecbaccaaffcbaeb,7,documentation
hppar remove support user security cifs hppar remove support user security cifs taking user security cifs cifs nfs secured ip address user security based par local fsuser make sense environment multiple drivers change id ibcbbefebfaabeeccbcb implements blueprint hppar remove cifs user access,7,documentation
test case validates instance security group defect existing code blocking instance traffic removing security group instance port test case validates instance security group defect existing code blocking instance traffic removing security group instance port change id ifadbfcdbdbcaefcfde,2,performance
description default security group changed description default security group changed changed description default security group default default security group change id iffcdcecbbe closes bug,2,performance
unclear message deleting default security group unlcear message deleting default security group trying delete default security group non admin user gives error conflict http request id req cec f f eeb bbeaad messgae displayed user confusing user get know allowed remove defaulty security group updated code give optimal message user closes bug change id ifacfbfecabceacc,2,performance
grafana security headers grafana security headers enabling security headers cookie samesite x content type options x xss protection change id iebaddbdbbcedbbcf,7,documentation
dnm test none security driver dnm test none security driver change id iefbaaecedacdebca,3,security
rename default security group rename default security group kilo changed behaviour security group naming impossible create default group default present fact affects vpc creation working test vpc added change id iabcdafcdffbefea,2,performance
fix error raising security groups method fix error raising security groups method case security groups belonging tenant port get security groups port would try raise exception fail trying index set patch removes use index introduces new exception provides better explanation situation occurred continuing work https review openstack org c change id iaeeeacfcfbe closes bug,0,documentation
add conntrack tool manage security group add conntrack tool manage security group patch introduce conntrack tool manage security group security group rule deleted use conntrack tool delete invalid ip connectivity change id idedbadabddbcb partially implements bp conntrack security group,2,performance
implement security class gerrit base security setup projects acls listed openstack site http ci openstack org gerrit html setup include gerrit security manages groups projects security change id iccfdbcefdeffce,7,documentation
fixes hyper v agent stateful security group rules fixes hyper v agent stateful security group rules hyper v allow stateful acls protocol meaning security group rules allows protocol must split separate rules protocol also hyper v allow stateful icmp rules means icmp rules must added inbound outbound change id idaebceacfbbabae,2,performance
enable setting default rules default security group enable setting default rules default security group blueprint default rules default security group change id iafedbbcdebeecdabaa,2,performance
create default security group neutron sg used create default security group neutron sg used change id ibabdffacfbbaf closes bug,2,performance
fix choosing default security group fix choosing default security group change id ibeefeebebdceabae,2,performance
wip add trust option security group create wip add trust option security group create create default set rules new security group wide open nova network osc gets neutron support change id icabfcfdccecdcbddc,2,performance
allow security group rules specified directions allow security group rules specified directions currently possible create security group rules ingress egress direction means case user needs create identically configured ingress egress rules run create command twice patch extends list choices security group rule create direction argument corresponding patch neutron https review openstack org c change id ifabbcdfebbaacdedb closes bug,2,performance
allow security group rules specified directions wip allow security group rules specified directions change id icbecacedaccccf closes bug,2,performance
nsx plugin security group rules summarization nsx plugin security group rules summarization summarize security group rules creating rules nsx controller fix removes duplicate redundant rules yield smaller set rules enforces security policies hypervisors reduce nsx control cluster memory consumption change id ibeeeddddcadafddae closes bug,2,performance
improve performance security group db query improve performance security group db query select ips remote group method joining ip allocation port allowed address pair security group tables together single query additionally loading port columns using none resulted expensive query benefit patch eliminates unnecessary use port table joining ip allocation table directly security groups allowed address pairs tables local testing method sped order magnitude closes bug change id iddbfefbfecc cherry picked commit dfbeaffbbfdbeb,2,performance
ovsvapp solution vlan security groups ovsvapp solution vlan security groups change id iaacafeeedcdaca,0,documentation
add dscp option security groups add dscp option security groups commit adds dscp option security groups client cli implements blueprint security groups dscp filter client change id iadaddbfdfcbfcfee,0,documentation
action support security group rule action support security group rule security group core functionalies openstack model widly used get famillier many users basically security group supports allow action limited bp going support actions including deny allow connection qos apply service also add new attributes rule priority rule order support attributes change id ieacdeccdfbbeeedabca,2,performance
implements added code secgroup create previously name description mendatory parameters sets want create security group dont require name description mendatory closes bug implements added code secgroup create previously name description mendatory parameters sets want create security group dont require name description mendatory closes bug change id icbbcbecdeedabd,2,performance
adding test security group trove adding test security group trove change id icefccabfcdebbdafb,2,performance
security groups prevent race default security group creation security groups prevent race default security group creation vm booted via nova client connection created admin user causes problems creating neutron port may race creation default security group tenant problem introduced commit acfdbacadcabfbfbffe change id iecafffacdecda closes bug cherry picked commit eaedecdecbacbfff,2,performance
updates default security group rules updates default security group rules adds new rules default security group osbash cluster allow users ssh ping vm instance without modify security groups change id ifeefeaeccdfbcba,2,performance
clean nova security groups clean nova security groups change id ieaeceffacbbfbfffbbf,0,documentation
make neutron security group lookup consistent allow case insensitive neutron security groups nova network security groups case insensitive neutron validates security group names regardless case however would fail scheduler would attempt allocate group instance causing enter error state patch fixes neutrons allocate instance allowing case insentivie groups matched change id idbedfbcdbeeccbf closes bug,0,documentation
break security group logic allocate instance break security group logic allocate instance patch breaks security group logic converts security group names ids allocate instance method attempt shortten allocate instance make managable closes bug change id ifccffcea,2,performance
description default security group changed description default security group changed changed description default security group default default security group change id iefdecdccfbddbea closes bug,2,performance
add hash auto security group uniqueness add hash auto security group uniqueness node group id unique enough avoid duplicates change id icedebdedacdd closes bug cherry picked commit ccdefebeefcca,2,performance
implement midonet juno security group api calls implement midonet juno security group api calls patch part series patches converting current midonet plugin code new model described blueprint midonet plugin juno patch focuses specifically security group handlers change id idcafffcbdefabbdb partially implements blueprint midonet plugin juno,2,performance
merge dirty hack enable security updates merge dirty hack enable security updates change id idbdcedcccfd,7,documentation
enforce uniqueness security group name per tenant enforce uniqueness security group name per tenant bug race condition described multiple requests create default security group may caught checks code enforced db model review enforces uniqueness tenant id sg name securitygroup db model using named uniqueconstraint included migration file please let know correct think need test case actually already covered test extension security group closes bug change id iaeedbecdaaeeefbcb,2,performance
add port security implementation ml plugin implements blueprint port security ml add port security implementation ml plugin implements blueprint port security ml change id icdffdeedcfbacfeaf,5,performance
merge security groups api tests enhancements merge security groups api tests enhancements add test create security rule create security group rule protocol attribute integer value validate security rule protocol value investigating problem icdfdacedbafebfbadabf change id ifaebfddfdeaa,0,documentation
fix configuration security group driver fix configuration security group driver security group driver correctly configured default neutron agent linux iptables firewall ovshybridiptablesfirewalldriver neutron plugin configuration files change id iadfacafbfca closes bug,2,performance
fix security groups fix security groups security groups hanlded correctly nova network neutron using direct provisioning engine change id ieffbbfcffdab closes bug,0,documentation
display protocol security group rules dashboard instance overview page display protocol security group rules dashboard instance overview page change id ifccdebebddcbaaa,2,performance
data processing auto security group data processing auto security group set auto security group field checked default change also sets value copy workflow change id idbbaffacaaba closes bug,2,performance
friendly error message creating security group friendly error message creating security group validate parameter name going parser creating security group error parameter validation case nova secgroup create name closes bug change id idebcfaaaedaadbc,2,performance
nsx plugin security group rules summarization nsx plugin security group rules summarization summarize security group rules creating rules nsx controller fix removes duplicate redundant rules yield smaller set rules enforces security policies hypervisors reduce nsx control cluster memory consumption change id iacfdeccdfcbcecbbfddac closes bug,2,performance
way delete valid invalid security rule way delete valid invalid security rule previously deleting correct incorrect security group rule throwing error attributeerror fix valid invalid security group rules deleted change id idefecebbbcfdcc closes bug,2,performance
use lowercase section name neutron ml security group config use lowercase section name neutron ml security group config security group configs neutron lower case consistent change id iceaccadbed closes bug,2,performance
fixes race condition create default security group fixes race condition create default security group boot one instance security group api nova check nova default security group firstly race condition boot instances first time tenant current logic get default security group get create one two threads may step exception securitygroupexists raised note occurs randomly boot instances tenant first time commit always tries create default security group firstly catch exception securitygroupexists closes bug related bug change id iabcdceacdeabaa,2,performance
obvious way delete incorrect security rule obvious way delete incorrect security rule previously deleting incorrect invalid security group rule throwing error attributeerror fix invalid security group rules deleted change id iaedadacabccdadbaea closes bug,2,performance
sahara using ids security groups instead names sahara using ids security groups instead names change id ieecdafabceacdcc closes bug,0,documentation
fail non existent security group referenced fail non existent security group referenced using aws ec securitygroup resources nova network neutron sourcesecuritygroupname specified rule name correspond extant security group would silently ignored change ensures error template cause creation security group fail fixes bug change id icfefdebabdadf,2,performance
mismatch case referring security groups ml ovs mismatch case referring security groups ml ovs ml referring security group directive securitygroup whereas ovs referring securitygroup fix change ml refer securitygroup closes bug change id ieeabafcddbfac,0,documentation
fix error adding security groups instances nexus fix error adding security groups instances nexus adding security group running instance invoke nexus plugin current implementation validate new host id assumes host migration fails closes bug change id iabbeeeaeaefffcb,0,documentation
friendly error message creating security group friendly error message creating security group validate parameters going parser creating security group error parameter closes bug change id ifcfbcdaeeebccae,2,performance
implements create security group without name description closes bug implements create security group without name description closes bug change id iccacbbcbbaaabfa,2,performance
use security group id instead name heat engine wip use security group id instead name heat engine change id idfaefcebfcdbbfbfa closes bug,2,performance
add ipset security group add ipset security group add ipset security group improving performance security group change id icdbfbbbbcdbbaaf supports blueprint add ipset security,2,performance
javelin add security groups support javelin add security groups support create check security groups survive upgrades create security groups rules assign security group server creation check security groups survive upgrade change id iadfcaac signed emilien macchi emilien macchi enovance com,0,documentation
adds new openstack security notes ossn sensitive data exposure logging python keystoneclient adds new openstack security notes ossn sensitive data exposure logging python keystoneclient change id iecfebcceec closes bug,7,documentation
migrate security notes new repository migrate security notes new repository security notes migrated central security doc repository patch cleans old contents prevent accidental use repository creation new notes temporary measure delete repository sometime near future pointer new repository location added readme file change id ibbccbafedbfeb,7,documentation
add ipset security group add ipset security group add ipset security group improving performance security group change id idadddefbebbeecdd supports blueprint add ipset security,2,performance
openstack security guide chapter grammatical format errors openstack security guide chapter grammatical format errors dissolving multiple grammatical errors inclusive awkward wording improper punctuation recharging ssl ssl tls removing whitespaces change id ibabbabcbbafaaecddac closes bug,7,documentation
openstack security guide chapter grammatical format errors openstack security guide chapter grammatical format errors dissolving multiple grammatical errors inclusive awkward wording improper punctuation recharging ssl ssl tls removing whitespaces change id ibcedfcbabbffcdeaefb closes bug,7,documentation
openstack security guide chapter grammatical format errors openstack security guide chapter grammatical format errors dissolving multiple grammatical errors inclusive awkward wording improper punctuation recharging ssl ssl tls removing whitespaces change id iacdbcaffeedbe closes bug,7,documentation
openstack security guide chapter grammatical format errors openstack security guide chapter grammatical format errors dissolving multiple grammatical errors inclusive awkward wording improper punctuation recharging ssl ssl tls change id iaebaeeddedfd closes bug,7,documentation
openstack security guide chapter grammatical format errors openstack security guide chapter grammatical format errors dissolving multiple grammatical errors inclusive awkward wording improper punctuation recharging ssl ssl tls removing whitespaces change id iedcddafadeabadc closes bug,7,documentation
fix listing security group rules fix listing security group rules many hitting requesturitoolong exception change id iacfbcebcaadbf closes bug,2,performance
inherit security group tests basecomputetest inherit security group tests basecomputetest patch inherits v security group tests basecomputetest place respective directories partially implements blueprint nova api test inheritance change id ibdaeafaededdeaccb,2,performance
use created security group scenario server test use created security group scenario server test scenario server basic ops test new security group created however security group used subsequent booted vm patch passes new security group creation vm change id icdeafecdfeebfbadb related bug,2,performance
added check use heat security group delete added check use heat security group delete reasons delete security group check use heat changes added check use heat security group delete change id iacddbfaeeeebbdd closes bug,2,performance
allow case insensitive security groups allow case insensitive security groups allocation security groups case insensitive adding segroup rules also change id ieafcfcbcbebfa,0,documentation
add security details keysone docs add security details keysone docs first draft adding keystone security docs produced nkinder change id ifdaabfabffcdbbbff co authored steve martinelli stevemar ca ibm com,7,documentation
track security group provisioned heat track security group provisioned heat reasons taskmanager perform associations security group rules instance changes adding associations group rules change id idabedbdafaeb closes bug,2,performance
implements security group record server details included name description optinal arguments want create security group need add name description complulsory parameters run nova secgroup create create group id uuid nova network neutron closes bug implements security group record server details included name description optinal arguments want create security group need add name description complulsory parameters run nova secgroup create create group id uuid nova network neutron closes bug change id iffabaeadfdfdfbeed,2,performance
wip patch tesing security group fix wip patch tesing security group fix wip patch tests security group fix nova new tempest test negative test security group nova patch https review openstack org c tempest patch https review openstack org c change id iacefbecacefecda,2,performance
allow case insensitive neutron security groups allow case insensitive neutron security groups nova network security groups case insensitive neutron validates security group names regardless case however would fail scheduler would attempt allocate group instance causing enter error state patch fixes neutrons allocate instance allowing case insentivie groups matched closes bug change id idbedfbcdbeeccbf cherry picked commit cefcaebeffdeb,0,documentation
nsx plugin introduce operational status security groups nsx plugin introduce operational status security groups extension specific nsx plugin introduces status attributes security groups asynchronous operation need attribute set appropriate state resource according task completion state like attribute extensions extension adds new db table relationship security groups table migration attribute code api future would straightforward related blueprint nvp async backend commuunication change id iebecbecbecffdeeee,0,documentation
duplicate security group name cause fail start instance duplicate security group name cause know witch sg use instance create security group duplicate name allowed create instance security group use designed sg name may cause user know witch sg used may user wanted duplicate name sg allowed create instance use set filter duplicate sg like sg names list set sg names change id ibdadaceadac closes bug,2,performance
creating name security group creating name security group used name descrption security group admin user change id ibebcfcceffddbfeae,2,performance
removed unnecessary security group api call prepare instance ssh removed unnecessary security group api call prepare instance ssh current code double lookup security group rally open l l need second lookup l creation new security group l also returns security group thus replace l l removing api call results measurable speedup case many users change id ibcadcbcfcecb closes bug,2,performance
nsx synchronous asynchronous handlers security groups nsx synchronous asynchronous handlers security groups patch introduces asynchronous handling security group operations nsx backend asynchronous tasks managed via celery added requirement asynchronous operations enabled setting true enable async tasks flag asynchronous tasks conceived synchronize neutron state nsx state rather simply applying neutron api operations therefore asynchronous task invoked also proceed create objects removed nsx backend default operations still handled synchronous fashion patch refactors plugin way db operation completed call dispatched handler function could either synchronous asynchronous patch therefore also provides beneficial separation database transactions nsx operation patch also adds code handling failures nsx operations order guarantee nuetron db consistently represents actual nsx state partially implements blueprint nsx async backend communication change id ibffaebddacaeaecface,7,documentation
revert fix security groups wadl revert fix security groups wadl path valid works locally using http reference api site api site broken reverts commit bdefeccccdceba,0,documentation
revert db mappings nsx security groups revert db mappings nsx security groups reverts commit efecfecadbefedeaac conflicts neutron plugins nicira neutronplugin py change id idcedddbdabfea,0,documentation
fixes security rules midonet plugin fixes security rules midonet plugin fixes several issues rule chains midonet plugins including adding rule drop egress traffic default adding security group support port egress chain correctly adding deleting jump rules port chains changing port security groups also fixes several pep issues change id ibbdbbeacabdc closes bug,5,performance
configure security group using ml plugin configure security group using ml plugin since ml plugin concurrently support different l agents mechanisms different configurations recommended set firewall driver flag ml configuration change id ifbcddacdaacda closes bug signed emilien macchi emilien macchi enovance com,7,documentation
support neutron security groups scenario testing support neutron security groups scenario testing methods networkscenariotest create security group networkscenariotest create loginable secgroup rule use nova client default added helper functions neutron use neutron network client moved old implementation nova old usage adds methods scenario manager allow generic creation neutron secgroup rules existing methods create secgroup login rules incoming ping ssh partial bug change id idebffdeedcfccaefe cherry picked commit ebffceeacbec,0,documentation
add password field security services add password field security services change securityservice db model include password field change security service manila api include password field security service views change id iaeefcbcecdcffacb,6,security
add tests security group api add tests security group api tests security group api neutron test create security group without name test create security group rule without security group test delete non existent security group rule change id ibfaacfcbcfeeaedebeb,2,performance
adding security rules ingress egress work properly adding security rules ingress egress work properly avoiding setting direction ingress selected combo value direction local settings py used actual behavior always setting direction ingress choosing one rules icmp tcp udp happens previously crated tcp direction ingress add new tcp direction egress fails rule direction ingress also add tcp direction egress rule first created direction ingress change id ibcbcfdbaacdcbfabca closes bug,7,documentation
simplify security group search logic simplify security group search logic also speed search since encoding moved loop also getting security groups done code check multiple matches found might dead since nova allow creating multiple security groups name change id iabcffbbbaeea,0,documentation
simplify security group search logic simplify security group search logic also speed search since encoding moved loop also getting security groups done code check multiple matches found dead since nova allow creating multiple security groups name thus need write another test check nouniquematch exception change id iebfcaeeedccdfaf closes bug,0,documentation
apply hybrid vif dirver based security group api config apply hybrid vif dirver based security group api config security group neutron ovs longer working hybrid driver selected commit going select hybrid driver based security group api configration closes bug change id icbfceebcfafabbcab,2,performance
address security concerns powervm driver address security concerns powervm driver add two methods common py help build sanitize commands sent remote vios system prevent shell injection fixes bug change id ifaccccbbadefaa,7,documentation
fixed default security group fixed default security group change id iadfcaafbafed,2,performance
adds security group list port detail screens adds security group list port detail screens change id ibbbcedefbdded closes bug,2,performance
support security groups xenapi ovs support security groups xenapi ovs iptables restore iptables restore commands read data standard input neutron rootwrap xen dom script netwrap plugin modified pass stdin one netwrap plugin also modified allow iptables iptables commands change id ibdffbdaeffdcfc closes bug,0,documentation
